crosslist, primary
NURS543401,NURS343401
NURS543402,NURS343402
NURS570401,PUBH500401
NURS573401,NURS357401
NURS613401,PUBH608401
NURS686401,NURS781401
OIDD291406,LGST206406
OIDD291407,LGST206407
OIDD291408,LGST206408
OIDD291409,LGST206409
OIDD291410,LGST206410
OIDD515401,OIDD415401
OIDD691406,LGST806406
OIDD691407,LGST806407
OIDD691408,LGST806408
OIDD691409,LGST806409
OIDD691410,LGST806410
OIDD910403,ESE504403
PERS111680,SAST405680
PERS113680,SAST425680
PERS611401,PERS011401
PERS613401,PERS013401
PERS615680,PERS015680
PERS617680,PERS017680
PHIL410401,MATH570401
PHIL556401,LAW946401
PHYS511401,PHYS411401
PHYS561401,PHYS361401
PHYS564401,PHYS364401
PHYS581401,PHYS401401
PSCI232401,COMM226401
PSCI267401,RUSS123401
PSYC207401,CIS140401
PSYC207402,CIS140402
PSYC207403,CIS140403
PSYC207404,CIS140404
PSYC207405,CIS140405
PSYC207406,CIS140406
PSYC207407,CIS140407
PSYC207408,CIS140408
PSYC207409,CIS140409
PSYC207410,CIS140410
PSYC207411,CIS140411
PSYC207412,CIS140412
PSYC225401,BIBB270401
PSYC265401,PPE313401
PSYC434401,BIBB334401
PSYC478401,PPE477401
PSYC611401,STAT500401
PUBH610401,EPID516401
REAL321402,REAL821402
REAL375401,REAL875401
REAL390401,REAL890401
REAL396401,REAL891401
REAL730401,BEPP773401
REAL804401,REAL204401
RELS027401,NELC156401
RELS068401,SAST008401
RELS109401,HIST118401
RELS109402,HIST118402
RELS109403,HIST118403
RELS109404,HIST118404
RELS129401,NELC252401
RELS140401,NELC130401
RELS155401,SAST050401
RELS172401,EALC008401
RELS224401,NELC250401
RELS288401,AFRC287401
RELS311401,NELC335401
RELS320401,HIST380401
RELS501401,AFRC547401
RELS523401,HEBR583401
RELS644401,SAST645401
RELS648401,NELC638401
RELS658401,RELS258401
RELS670401,SAST640401
ROML690401,FREN601401
RUSS501001,RUSS001001
RUSS501680,RUSS001680
RUSS511401,RUSS311401
SAST139401,RELS143401
SAST147401,RELS069401
SAST290401,ASAM160401
SAST340401,SAST640401
SAST517401,SAST217401
SAST571401,SAST171401
SAST686401,RELS586401
SCND501401,SCND101401
SLAV500401,COML501401
SOCI013401,URBS010401
SOCI152401,HSOC150401
SOCI152402,HSOC150402
SOCI152403,HSOC150403
SOCI233401,CRIM100401
SOCI435401,URBS457401
SOCI660401,AFRC620401
STAT405401,STAT705401
STAT405402,STAT705402
STAT405403,STAT705403
STAT405404,STAT705404
STAT405405,STAT705405
STAT405406,STAT705406
STAT422401,STAT722401
STAT422402,STAT722402
STAT422403,STAT722403
STAT422404,STAT722404
STAT435401,STAT711401
STAT471401,STAT701401
STAT471402,STAT701402
STAT471403,STAT701403
STAT503401,STAT470401
STAT503402,STAT470402
STAT571401,STAT701401
STAT571402,STAT701402
STAT571403,STAT701403
STAT770401,STAT470401
STAT770402,STAT470402
STAT851401,STAT451401
STAT853401,STAT453401
STAT930401,MATH648401
STSC162401,HSOC152401
SWRK766401,NPLD785401
SWRK766402,NPLD785402
THAR281401,ENGL280401
TURK521680,TURK121680
TURK621401,TURK021401
TURK623401,TURK023401
TURK631680,TURK031680
URBS104401,HIST153401
URBS121401,NELC103401
URBS276401,ARTH270401
URBS276402,ARTH270402
URBS276403,ARTH270403
URBS322401,FNAR222401
URBS440401,CPLN500401
URBS440402,CPLN500402
URBS530401,URBS330401
URDU401401,HIND400401
VCSN876412,VCSN816412
VCSP777409,VCSP717409
VCSP777410,VCSP717410
VCSP777411,VCSP717411
VCSP777412,VCSP717412
VCSP777413,VCSP717413
VCSP777414,VCSP717414
VCSP777415,VCSP717415
VCSP777416,VCSP717416
VCSP778409,VCSP718409
VCSP778410,VCSP718410
VCSP778411,VCSP718411
VCSP778412,VCSP718412
VCSP778413,VCSP718413
VCSP778414,VCSP718414
VCSP778415,VCSP718415
VCSP778416,VCSP718416
VCSP781409,VCSP721409
VCSP781410,VCSP721410
VCSP781411,VCSP721411
VCSP781412,VCSP721412
VCSP781413,VCSP721413
VCSP781414,VCSP721414
VCSP781415,VCSP721415
VCSP781416,VCSP721416
VCSP782409,VCSP722409
VCSP782410,VCSP722410
VCSP782411,VCSP722411
VCSP782412,VCSP722412
VCSP782413,VCSP722413
VCSP782414,VCSP722414
VCSP782415,VCSP722415
VCSP782416,VCSP722416
VLST211401,PSYC111401
VLST211402,PSYC111402
VLST211403,PSYC111403
VLST211404,PSYC111404
VLST211405,PSYC111405
VLST251201,FNAR271201
VLST251401,FNAR271401
VLST251402,FNAR271402
VLST251403,FNAR271403
VLST251404,FNAR271404
VLST252401,FNAR145401
VLST252402,FNAR145402
VLST253401,FNAR123401
VLST253402,FNAR123402
VLST253403,FNAR123403
VLST253404,FNAR123404
VLST253405,FNAR123405
VLST260401,FNAR150401
VLST261401,FNAR061401
VLST261402,FNAR061402
VLST261403,FNAR061403
VLST261404,FNAR061404
VLST261405,FNAR061405
VLST261406,FNAR061406
VLST261407,FNAR061407
VLST265401,FNAR340401
VLST265402,FNAR340402
VLST265403,FNAR340403
VLST265404,FNAR340404
VLST265405,FNAR340405
VLST265406,FNAR340406
VLST265407,FNAR340407
VLST265408,FNAR340408
VLST505401,VLST305401
VPTH780413,VPTH718413
WH299401,WH399401
WH299402,WH399402
